 80 0x01F9 0x020C 0x0201 19 01.79
 81 0x01F8 0x0207 0x01FF 15 01.47
 82 0x01FA 0x0209 0x0200 15 01.51
 83 0x01F8 0x0206 0x01FE 14 01.42
 84 0x0200 0x0206 0x0202 06 00.79
 85 0x01FD 0x0202 0x01FF 05 00.62
 86 0x01FE 0x020C 0x0203 14 01.58
 87 0x01FA 0x0206 0x0200 12 01.21
 88 0x01F4 0x0209 0x01FE 21 01.74
 89 0x01F8 0x0205 0x01FE 13 01.26
 8A 0x01F8 0x0209 0x01FF 17 01.42
 8B 0x01FB 0x0208 0x0200 13 01.16
 8C 0x01FC 0x0206 0x01FF 10 01.42
 8D 0x01FD 0x0203 0x01FF 06 00.69
 8E 0x0200 0x020A 0x0202 10 01.53
 8F 0x01FE 0x0204 0x0200 06 00.67
 90 0x01F5 0x0209 0x01FF 20 01.91
 91 0x01FB 0x0207 0x0200 12 01.30
 92 0x01F7 0x0206 0x01FD 15 01.53
 93 0x01F9 0x0206 0x01FF 13 01.33
 94 0x01FA 0x0206 0x01FF 12 01.63
 95 0x01F9 0x0206 0x01FF 13 01.37
 96 0x01FC 0x020A 0x0201 14 01.61
 97 0x01F9 0x0206 0x01FF 13 01.29
 98 0x01F7 0x020A 0x0200 19 01.87
 99 0x01F9 0x0207 0x01FF 14 01.29
 9A 0x01FA 0x020A 0x0200 16 01.60
 9B 0x01FB 0x0208 0x0200 13 01.35
 9C 0x01FB 0x0205 0x01FF 10 01.52
 9D 0x01F8 0x0205 0x01FE 13 01.25
 9E 0x01FC 0x0209 0x0200 13 01.48
 9F 0x01FA 0x0205 0x01FF 11 01.21
 A0 0x01F7 0x020A 0x0200 19 01.74
 A1 0x01FB 0x0209 0x0201 14 01.30
 A2 0x01FA 0x0208 0x0200 14 01.47
 A3 0x01FA 0x0208 0x0200 14 01.28
 A4 0x01FA 0x0205 0x01FE 11 01.38
 A5 0x01F8 0x0205 0x01FF 13 01.33
 A6 0x01FD 0x0208 0x0201 11 01.36
 A7 0x01FB 0x0207 0x0200 12 01.21
 A8 0x01F6 0x020A 0x0200 20 02.04
 A9 0x01F9 0x0209 0x0201 16 01.50
 AA 0x01F8 0x0209 0x0200 17 01.65
 AB 0x01F9 0x0208 0x01FF 15 01.40
 AC 0x01FA 0x0204 0x01FD 10 01.65
 AD 0x01FB 0x0203 0x01FF 08 00.99
 AE 0x01FB 0x0208 0x0200 13 01.32
 AF 0x01F9 0x0204 0x01FE 11 01.24
 B0 0x01F8 0x020E 0x0202 22 01.89
 B1 0x01FA 0x0209 0x0201 15 01.53
 B2 0x01F8 0x0209 0x0200 17 01.59
 B3 0x01FA 0x0209 0x0200 15 01.42
 B4 0x01FA 0x0204 0x01FE 10 01.28
 B5 0x01F8 0x0205 0x01FE 13 01.40
 B6 0x01FA 0x0204 0x01FE 10 01.15
 B7 0x01F9 0x0206 0x01FE 13 01.38
 B8 0x01F8 0x020B 0x0200 19 01.74
 B9 0x01F8 0x020A 0x0200 18 01.46
 BA 0x01F8 0x020A 0x01FF 18 01.72
 BB 0x01FA 0x020B 0x0200 17 01.59
 BC 0x01FB 0x0203 0x01FE 08 00.95
 BD 0x01F9 0x0203 0x01FD 10 01.03
 BE 0x01FC 0x0205 0x0200 09 01.11
 BF 0x01FA 0x0205 0x01FF 11 01.34
 C0 0x01F6 0x020A 0x0200 20 01.89
 C1 0x01F8 0x0207 0x01FF 15 01.34
 C2 0x01F8 0x0207 0x01FF 15 01.51
 C3 0x01F9 0x0207 0x01FF 14 01.49
 C4 0x01FC 0x0205 0x0200 09 01.03
 C5 0x01F6 0x0203 0x01FD 13 01.36
 C6 0x01FB 0x0204 0x01FF 09 01.09
 C7 0x01F7 0x0205 0x01FE 14 01.34
 C8 0x01F7 0x020B 0x0200 20 01.66
 C9 0x01F9 0x0208 0x0200 15 01.40
 CA 0x01FB 0x0209 0x0201 14 01.38
 CB 0x01FA 0x0206 0x01FF 12 01.23
 CC 0x01F8 0x0206 0x01FE 14 01.62
 CD 0x01F6 0x0203 0x01FD 13 01.44
 CE 0x01F9 0x0204 0x01FD 11 01.21
 CF 0x01F7 0x0204 0x01FC 13 01.41
 D0 0x01F7 0x0209 0x0200 18 01.65
 D1 0x01FA 0x0208 0x0200 14 01.46
 D2 0x01F8 0x0208 0x0200 16 01.53
 D3 0x01F9 0x0207 0x0200 14 01.25
 D4 0x01F9 0x0206 0x0200 13 01.53
 D5 0x01F8 0x0204 0x01FE 12 01.43
 D6 0x01F9 0x0205 0x01FE 12 01.29
 D7 0x01F9 0x0206 0x01FF 13 01.38
 D8 0x01F8 0x0209 0x0200 17 01.63
 D9 0x01FA 0x0207 0x0200 13 01.29
 DA 0x01F7 0x0207 0x01FF 16 01.52
 DB 0x01FC 0x0208 0x0202 12 01.31
 DC 0x01F9 0x0204 0x01FF 11 01.29
 DD 0x01F8 0x0205 0x01FF 13 01.35
 DE 0x01FA 0x0205 0x0200 11 01.21
 DF 0x01F8 0x0204 0x01FE 12 01.34
 E0 0x01F6 0x0209 0x01FF 19 01.72
 E1 0x01FB 0x0209 0x0202 14 01.30
 E2 0x01F8 0x0208 0x0200 16 01.55
 E3 0x01FB 0x0207 0x0200 12 01.23
 E4 0x01F6 0x0202 0x01FD 12 01.47
 E5 0x01F9 0x0206 0x01FF 13 01.48
 E6 0x01F8 0x0205 0x01FF 13 01.52
 E7 0x01F8 0x0205 0x01FF 13 01.52
 E8 0x01F3 0x0209 0x01FE 22 02.25
 E9 0x01F8 0x0209 0x0200 17 01.75
 EA 0x01F2 0x020A 0x01FE 24 02.43
 EB 0x01F7 0x0208 0x01FF 17 01.62
 EC 0x01F7 0x0205 0x01FF 14 01.52
 ED 0x01FA 0x0206 0x0200 12 01.40
 EE 0x01F8 0x0207 0x01FF 15 01.50
 EF 0x01F8 0x0205 0x01FF 13 01.45
