 80 0x01FE 0x0207 0x0201 09 00.98
 81 0x01FC 0x0208 0x0201 12 01.28
 82 0x01FE 0x0208 0x0201 10 01.20
 83 0x01FF 0x0208 0x0202 09 01.09
 84 0x01F5 0x0203 0x01FD 14 01.98
 85 0x01FC 0x0207 0x0201 11 01.21
 86 0x01F7 0x0204 0x01FE 13 01.83
 87 0x01FC 0x0207 0x0202 11 01.10
 88 0x01FE 0x0207 0x0202 09 00.96
 89 0x01FE 0x0209 0x0202 11 01.29
 8A 0x01FE 0x0209 0x0201 11 01.24
 8B 0x0200 0x020A 0x0203 10 01.39
 8C 0x01F4 0x0204 0x01FD 16 02.34
 8D 0x01FA 0x0206 0x0200 12 01.38
 8E 0x01F4 0x0203 0x01FC 15 02.11
 8F 0x01FB 0x0206 0x0200 11 01.27
 90 0x01FE 0x0207 0x0201 09 00.99
 91 0x01FE 0x0209 0x0201 11 01.25
 92 0x01FE 0x0209 0x0201 11 01.22
 93 0x01FF 0x020A 0x0203 11 01.39
 94 0x01F4 0x0203 0x01FD 15 02.20
 95 0x01F9 0x0206 0x0200 13 01.35
 96 0x01F6 0x0205 0x01FF 15 01.91
 97 0x01FB 0x0206 0x0200 11 01.12
 98 0x01FE 0x0206 0x0201 08 00.99
 99 0x01FE 0x0208 0x0201 10 01.21
 9A 0x01FE 0x0209 0x0201 11 01.29
 9B 0x01FF 0x020A 0x0203 11 01.45
 9C 0x01F5 0x0202 0x01FC 13 02.06
 9D 0x01F9 0x0205 0x0200 12 01.47
 9E 0x01F5 0x0203 0x01FD 14 02.01
 9F 0x01FB 0x0206 0x0200 11 01.24
 A0 0x01FE 0x0208 0x0202 10 01.01
 A1 0x01FE 0x0209 0x0202 11 01.22
 A2 0x01FD 0x0209 0x0201 12 01.27
 A3 0x0200 0x020A 0x0203 10 01.38
 A4 0x01F5 0x0203 0x01FD 14 01.99
 A5 0x01FA 0x0206 0x0201 12 01.40
 A6 0x01F6 0x0204 0x01FD 14 01.92
 A7 0x01FB 0x0206 0x0200 11 01.24
 A8 0x01FD 0x0207 0x0201 10 01.00
 A9 0x0201 0x020C 0x0204 11 01.27
 AA 0x01FE 0x020A 0x0201 12 01.36
 AB 0x01FF 0x020A 0x0202 11 01.63
 AC 0x01F6 0x0203 0x01FD 13 01.98
 AD 0x01F9 0x0205 0x0200 12 01.36
 AE 0x01F5 0x0204 0x01FD 15 02.00
 AF 0x01FA 0x0206 0x01FF 12 01.21
 B0 0x01FE 0x0206 0x0201 08 01.02
 B1 0x0200 0x020A 0x0203 10 01.22
 B2 0x01FF 0x020B 0x0202 12 01.30
 B3 0x0200 0x020C 0x0204 12 01.40
 B4 0x01F7 0x0205 0x01FF 14 01.85
 B5 0x01FB 0x0207 0x0201 12 01.31
 B6 0x01F6 0x0204 0x01FE 14 01.86
 B7 0x01FD 0x0208 0x0201 11 01.24
 B8 0x01FD 0x0207 0x0201 10 01.05
 B9 0x0200 0x020A 0x0203 10 01.20
 BA 0x01FF 0x020A 0x0202 11 01.26
 BB 0x01FF 0x020B 0x0203 12 01.39
 BC 0x01F5 0x0204 0x01FE 15 01.92
 BD 0x01F9 0x0206 0x01FF 13 01.35
 BE 0x01F8 0x0207 0x0201 15 01.85
 BF 0x01FD 0x0208 0x0202 11 01.21
 C0 0x01FC 0x0206 0x0200 10 01.05
 C1 0x0200 0x020C 0x0203 12 01.52
 C2 0x01FE 0x0209 0x0201 11 01.32
 C3 0x01FF 0x020C 0x0202 13 01.67
 C4 0x01F6 0x0205 0x01FF 15 01.88
 C5 0x01FA 0x0207 0x0201 13 01.30
 C6 0x01F7 0x0206 0x0200 15 01.88
 C7 0x01FB 0x0206 0x0200 11 01.17
 C8 0x01FE 0x0208 0x0202 10 01.08
 C9 0x0201 0x020D 0x0204 12 01.65
 CA 0x01FF 0x020A 0x0203 11 01.29
 CB 0x01FF 0x020C 0x0202 13 01.61
 CC 0x01F4 0x0205 0x01FF 17 02.10
 CD 0x01F9 0x0205 0x01FF 12 01.31
 CE 0x01F7 0x0207 0x0200 16 01.92
 CF 0x01FC 0x0207 0x0200 11 01.14
 D0 0x01FD 0x0207 0x0200 10 01.11
 D1 0x0200 0x020E 0x0204 14 01.84
 D2 0x01FE 0x0209 0x0201 11 01.30
 D3 0x01FE 0x020E 0x0203 16 01.88
 D4 0x01F4 0x0205 0x01FE 17 02.01
 D5 0x01FC 0x0206 0x0200 10 01.16
 D6 0x01F7 0x0205 0x01FF 14 01.77
 D7 0x01FC 0x0206 0x0200 10 01.08
 D8 0x01FD 0x0207 0x0201 10 01.02
 D9 0x0200 0x020D 0x0203 13 01.67
 DA 0x01FE 0x0208 0x0201 10 01.17
 DB 0x01FF 0x020A 0x0202 11 01.57
 DC 0x01F6 0x0206 0x0200 16 02.10
 DD 0x01FE 0x0208 0x0201 10 01.20
 DE 0x01F7 0x0205 0x01FF 14 01.72
 DF 0x0200 0x0209 0x0203 09 01.16
 E0 0x01FD 0x0205 0x01FF 08 01.01
 E1 0x0200 0x020E 0x0203 14 01.82
 E2 0x01FF 0x0208 0x0202 09 01.11
 E3 0x0200 0x020D 0x0204 13 01.62
 E4 0x01F4 0x0206 0x01FF 18 02.17
 E5 0x01FE 0x0208 0x0202 10 01.18
 E6 0x01F7 0x0207 0x0200 16 01.78
 E7 0x01FE 0x0209 0x0202 11 01.32
 E8 0x01FE 0x0207 0x0201 09 00.99
 E9 0x0200 0x020D 0x0203 13 01.64
 EA 0x01FC 0x0206 0x0200 10 01.09
 EB 0x0200 0x020B 0x0203 11 01.47
 EC 0x01F6 0x0206 0x01FF 16 01.97
 ED 0x01FD 0x0207 0x0201 10 01.13
 EE 0x01FA 0x0208 0x0201 14 01.58
 EF 0x01FD 0x0208 0x0201 11 01.29
