 80 0x01FC 0x0205 0x0200 09 01.19
 81 0x01F9 0x0205 0x01FF 12 01.60
 82 0x01FA 0x0205 0x01FE 11 01.37
 83 0x01FA 0x0204 0x01FE 10 01.37
 84 0x01F9 0x0207 0x01FF 14 01.77
 85 0x01F8 0x0208 0x01FF 16 01.48
 86 0x01FB 0x020E 0x0202 19 02.03
 87 0x01F8 0x0209 0x0200 17 01.79
 88 0x01FB 0x0205 0x01FF 10 01.14
 89 0x01FA 0x0205 0x01FF 11 01.41
 8A 0x01FB 0x0205 0x0200 10 01.13
 8B 0x01FA 0x0204 0x01FF 10 01.39
 8C 0x01FC 0x0206 0x0200 10 01.17
 8D 0x01FA 0x0205 0x0200 11 01.13
 8E 0x01FC 0x0209 0x0201 13 01.61
 8F 0x01FC 0x0206 0x0200 10 01.07
 90 0x01FC 0x0205 0x0200 09 01.05
 91 0x01F9 0x0203 0x01FE 10 01.32
 92 0x01FA 0x0204 0x01FE 10 01.12
 93 0x01FB 0x0205 0x01FF 10 01.50
 94 0x01FC 0x0207 0x01FF 11 01.11
 95 0x01F9 0x0206 0x01FF 13 01.18
 96 0x01FB 0x020D 0x01FF 18 01.45
 97 0x0022 0x0400 0x01FE 990 09.02
 98 0x01FC 0x0205 0x01FF 09 01.05
 99 0x01F8 0x0203 0x01FD 11 01.26
 9A 0x01F9 0x0203 0x01FD 10 01.07
 9B 0x01FB 0x0205 0x01FF 10 01.53
 9C 0x01FC 0x0206 0x01FF 10 01.16
 9D 0x01FB 0x0205 0x01FF 10 01.06
 9E 0x01FA 0x0205 0x01FE 11 01.42
 9F 0x01FC 0x0204 0x01FF 08 00.99
 A0 0x01FC 0x0204 0x01FF 08 00.94
 A1 0x01FA 0x0204 0x01FE 10 01.18
 A2 0x01FC 0x0204 0x01FF 08 01.01
 A3 0x01FA 0x0204 0x01FE 10 01.26
 A4 0x01FA 0x0207 0x01FF 13 01.55
 A5 0x01FA 0x0204 0x01FE 10 01.14
 A6 0x01FB 0x0206 0x01FF 11 01.38
 A7 0x01FD 0x0206 0x0200 09 01.04
 A8 0x01FA 0x0202 0x01FD 08 00.95
 A9 0x01F9 0x0204 0x01FE 11 01.33
 AA 0x01FD 0x0205 0x0200 08 01.00
 AB 0x01FC 0x0204 0x01FF 08 01.12
 AC 0x01FB 0x0206 0x01FF 11 01.69
 AD 0x01FB 0x0206 0x0200 11 01.07
 AE 0x01FD 0x0208 0x0201 11 01.37
 AF 0x01FD 0x0206 0x0200 09 01.01
 B0 0x01FB 0x0203 0x01FE 08 00.96
 B1 0x01F9 0x0203 0x01FE 10 01.44
 B2 0x01FC 0x0204 0x01FF 08 01.02
 B3 0x01FE 0x0206 0x0201 08 00.98
 B4 0x01F7 0x0205 0x01FE 14 02.13
 B5 0x01F8 0x0203 0x01FD 11 01.18
 B6 0x01FB 0x0205 0x01FF 10 01.38
 B7 0x01F9 0x0203 0x01FD 10 01.08
 B8 0x01FC 0x0204 0x01FF 08 01.01
 B9 0x01FB 0x0205 0x01FF 10 01.17
 BA 0x01FA 0x0203 0x01FE 09 01.05
 BB 0x01FB 0x0204 0x01FF 09 01.39
 BC 0x01F8 0x0204 0x01FF 12 01.37
 BD 0x01F9 0x0204 0x01FE 11 01.18
 BE 0x01FB 0x0205 0x01FF 10 01.29
 BF 0x01FA 0x0204 0x01FE 10 01.19
 C0 0x01FC 0x0205 0x01FF 09 00.99
 C1 0x01FC 0x0206 0x0200 10 01.12
 C2 0x01FE 0x0206 0x0201 08 01.00
 C3 0x01FC 0x0204 0x01FF 08 01.02
 C4 0x01F9 0x0206 0x0200 13 01.40
 C5 0x01FB 0x0205 0x01FF 10 01.14
 C6 0x01FA 0x0204 0x01FF 10 01.25
 C7 0x01FA 0x0203 0x01FE 09 01.16
 C8 0x01FD 0x0205 0x0200 08 00.97
 C9 0x01FC 0x0206 0x0200 10 01.22
 CA 0x01FC 0x0206 0x0200 10 01.05
 CB 0x01FB 0x0206 0x01FF 11 01.14
 CC 0x01F6 0x020B 0x01FF 21 01.33
 CD 0x01ED 0x021B 0x0200 46 01.12
 CE 0x0030 0x0400 0x01FE 976 09.95
 CF 0x01B1 0x0232 0x01FC 129 01.19
 D0 0x01FD 0x0206 0x0200 09 01.00
 D1 0x01FC 0x0206 0x0201 10 01.36
 D2 0x01FC 0x0206 0x0200 10 01.08
 D3 0x01FC 0x0206 0x01FF 10 01.14
 D4 0x01FA 0x0206 0x01FF 12 01.35
 D5 0x01FB 0x0205 0x01FF 10 01.19
 D6 0x01FA 0x0204 0x01FE 10 01.32
 D7 0x01F9 0x0203 0x01FE 10 01.30
 D8 0x01FD 0x0206 0x0201 09 01.01
 D9 0x01F9 0x0203 0x01FE 10 01.37
 DA 0x01F8 0x0202 0x01FD 10 01.13
 DB 0x01FD 0x0207 0x0201 10 01.21
 DC 0x01FC 0x0207 0x0201 11 01.18
 DD 0x01FB 0x0206 0x0200 11 01.21
 DE 0x01FB 0x0204 0x01FE 09 01.22
 DF 0x01F9 0x0204 0x01FE 11 01.18
 E0 0x01FA 0x0204 0x01FE 10 01.02
 E1 0x01FC 0x0206 0x0200 10 01.14
 E2 0x01FA 0x0205 0x01FF 11 01.11
 E3 0x01FD 0x0207 0x0201 10 01.30
 E4 0x01F9 0x0204 0x01FE 11 01.19
 E5 0x01F9 0x0204 0x01FE 11 01.29
 E6 0x01FC 0x0207 0x0200 11 01.25
 E7 0x01F9 0x0204 0x01FE 11 01.18
 E8 0x01FD 0x0205 0x0200 08 00.97
 E9 0x01FC 0x0204 0x01FF 08 01.02
 EA 0x01F9 0x0204 0x01FE 11 01.15
 EB 0x01FB 0x0205 0x01FF 10 01.50
 EC 0x01FB 0x0206 0x01FF 11 01.18
 ED 0x01FA 0x0205 0x01FF 11 01.15
 EE 0x01FA 0x0205 0x01FF 11 01.32
 EF 0x01FA 0x0204 0x01FF 10 01.15
