 80 0x01FD 0x0205 0x0200 08 00.96
 81 0x01F9 0x0206 0x0200 13 01.45
 82 0x01FE 0x0207 0x0201 09 01.12
 83 0x01FC 0x0207 0x0201 11 01.19
 84 0x01E7 0x0214 0x01FE 45 01.71
 85 0x0021 0x0400 0x01FF 991 16.29
 86 0x01F6 0x0209 0x01FD 19 01.76
 87 0x01FB 0x0206 0x0200 11 01.13
 88 0x01FD 0x0206 0x0200 09 00.96
 89 0x01FB 0x0208 0x0201 13 01.29
 8A 0x01FF 0x0208 0x0202 09 01.13
 8B 0x0201 0x020A 0x0204 09 01.01
 8C 0x01F5 0x0217 0x0200 34 01.69
 8D 0x016B 0x0246 0x01FF 219 01.37
 8E 0x0033 0x0400 0x01FE 973 09.40
 8F 0x01F8 0x020F 0x01FE 23 01.12
 90 0x01FA 0x0202 0x01FD 08 00.94
 91 0x01FD 0x0208 0x0202 11 01.23
 92 0x01FE 0x0208 0x0202 10 01.09
 93 0x0201 0x020A 0x0204 09 01.10
 94 0x01FA 0x0207 0x0201 13 01.87
 95 0x01FA 0x0207 0x0200 13 01.31
 96 0x01F8 0x0205 0x01FF 13 01.87
 97 0x01FC 0x0207 0x0202 11 01.19
 98 0x01FD 0x0205 0x0200 08 00.98
 99 0x01FD 0x0208 0x0202 11 01.17
 9A 0x01FE 0x0208 0x0201 10 01.20
 9B 0x01FE 0x0209 0x0202 11 01.28
 9C 0x01F5 0x0203 0x01FD 14 02.12
 9D 0x01F8 0x0204 0x01FE 12 01.32
 9E 0x01F8 0x0206 0x01FF 14 01.85
 9F 0x01FC 0x0205 0x0200 09 01.10
 A0 0x01FB 0x0203 0x01FE 08 00.96
 A1 0x01FF 0x0208 0x0202 09 01.10
 A2 0x01FE 0x0209 0x0202 11 01.25
 A3 0x01FD 0x0208 0x0201 11 01.30
 A4 0x01F5 0x0205 0x01FE 16 02.27
 A5 0x01F8 0x0204 0x01FE 12 01.32
 A6 0x01F6 0x0204 0x01FD 14 02.01
 A7 0x01FC 0x0207 0x0201 11 01.15
 A8 0x01FC 0x0205 0x01FF 09 00.96
 A9 0x01FE 0x0208 0x0201 10 01.10
 AA 0x0200 0x020C 0x0204 12 01.26
 AB 0x01FF 0x0209 0x0202 10 01.44
 AC 0x01F6 0x0204 0x01FE 14 02.16
 AD 0x01F8 0x0204 0x01FE 12 01.41
 AE 0x01F5 0x0204 0x01FE 15 02.07
 AF 0x01FB 0x0207 0x0200 12 01.32
 B0 0x01FE 0x0206 0x0201 08 00.96
 B1 0x01FF 0x0209 0x0202 10 01.04
 B2 0x01FC 0x0207 0x0200 11 01.21
 B3 0x01FD 0x0207 0x0200 10 01.26
 B4 0x01F5 0x0202 0x01FC 13 01.82
 B5 0x01FB 0x0207 0x0202 12 01.30
 B6 0x01F7 0x0204 0x01FF 13 01.91
 B7 0x01FB 0x0205 0x01FF 10 01.15
 B8 0x01FD 0x0206 0x0200 09 00.96
 B9 0x01FF 0x0209 0x0202 10 01.16
 BA 0x01FE 0x0209 0x0201 11 01.25
 BB 0x01FF 0x0209 0x0202 10 01.28
 BC 0x01F7 0x0206 0x0200 15 01.76
 BD 0x01FA 0x0205 0x01FF 11 01.22
 BE 0x01F6 0x0204 0x01FE 14 01.85
 BF 0x01FE 0x0208 0x0202 10 01.14
 C0 0x01FE 0x0208 0x0201 10 01.01
 C1 0x01FE 0x020A 0x0202 12 01.32
 C2 0x01FD 0x0209 0x0201 12 01.28
 C3 0x01FE 0x020E 0x0204 16 01.52
 C4 0x01F5 0x0205 0x01FF 16 02.06
 C5 0x01FA 0x0205 0x0200 11 01.27
 C6 0x01F5 0x0205 0x01FF 16 02.07
