 80 0x01FB 0x0205 0x01FF 10 01.03
 81 0x01FD 0x0209 0x0202 12 01.34
 82 0x01FF 0x020A 0x0203 11 01.27
 83 0x01FE 0x0208 0x0201 10 01.17
 84 0x01F3 0x0202 0x01FC 15 02.09
 85 0x01F7 0x0204 0x01FE 13 01.35
 86 0x01F5 0x0204 0x01FD 15 02.05
 87 0x01FC 0x0208 0x0201 12 01.20
 88 0x01FD 0x0206 0x0200 09 00.99
 89 0x01FE 0x020A 0x0203 12 01.24
 8A 0x01FF 0x020A 0x0203 11 01.24
 8B 0x01FE 0x0208 0x0202 10 01.25
 8C 0x01F4 0x0202 0x01FC 14 01.83
 8D 0x01FA 0x0206 0x0200 12 01.31
 8E 0x01F7 0x0205 0x01FE 14 01.79
 8F 0x01FB 0x0205 0x0200 10 01.15
 90 0x01FC 0x0205 0x0200 09 00.97
 91 0x01FD 0x0208 0x0200 11 01.26
 92 0x01FC 0x0207 0x0200 11 01.21
 93 0x01FF 0x020A 0x0202 11 01.47
 94 0x01F2 0x0201 0x01FB 15 02.05
 95 0x01F8 0x0204 0x01FF 12 01.34
 96 0x01F7 0x0205 0x01FF 14 01.91
 97 0x01FB 0x0206 0x0201 11 01.15
 98 0x01FD 0x0205 0x0200 08 00.99
 99 0x01FD 0x0207 0x0200 10 01.11
 9A 0x01FD 0x0208 0x0201 11 01.21
 9B 0x0200 0x020B 0x0204 11 01.30
 9C 0x01F5 0x0202 0x01FD 13 01.81
 9D 0x01F9 0x0206 0x0200 13 01.37
 9E 0x01F6 0x0204 0x01FE 14 01.88
 9F 0x01FC 0x0207 0x0201 11 01.18
 A0 0x01FE 0x0206 0x0201 08 00.99
 A1 0x0200 0x020B 0x0203 11 01.21
 A2 0x01FE 0x020A 0x0202 12 01.35
 A3 0x0201 0x020D 0x0205 12 01.63
 A4 0x01F5 0x0203 0x01FD 14 02.00
 A5 0x01F8 0x0205 0x01FF 13 01.46
 A6 0x01F5 0x0202 0x01FC 13 01.94
 A7 0x01FC 0x0206 0x0201 10 01.13
 A8 0x0200 0x0206 0x0201 06 00.80
 A9 0x0200 0x020B 0x0203 11 01.35
 AA 0x01FD 0x0203 0x01FF 06 00.74
 AB 0x01FF 0x020B 0x0203 12 01.68
 AC 0x01F7 0x0204 0x01FE 13 01.83
 AD 0x01FA 0x0206 0x0200 12 01.33
 AE 0x01FD 0x0203 0x0200 06 00.94
 AF 0x01FD 0x0203 0x01FF 06 00.87
 B0 0x01FE 0x0208 0x0201 10 01.11
 B1 0x01FE 0x020B 0x0202 13 01.48
 B2 0x01FF 0x020B 0x0202 12 01.48
 B3 0x0200 0x020E 0x0203 14 01.81
 B4 0x01F5 0x0203 0x01FD 14 01.91
 B5 0x01F9 0x0206 0x0200 13 01.37
 B6 0x01F5 0x0203 0x01FD 14 01.95
 B7 0x01FB 0x0207 0x0200 12 01.30
 B8 0x01FC 0x0206 0x01FF 10 01.05
 B9 0x0200 0x020B 0x0203 11 01.38
 BA 0x01FE 0x020A 0x0202 12 01.30
 BB 0x0200 0x020D 0x0204 13 01.54
 BC 0x01F3 0x0203 0x01FD 16 01.96
 BD 0x01FA 0x0206 0x0200 12 01.28
 BE 0x01F5 0x0204 0x01FE 15 01.93
 BF 0x01FE 0x0208 0x0202 10 01.15
 C0 0x01FD 0x0207 0x0200 10 01.04
 C1 0x01FF 0x020B 0x0203 12 01.41
 C2 0x01FE 0x0209 0x0202 11 01.25
 C3 0x0200 0x020C 0x0203 12 01.55
 C4 0x01F4 0x0204 0x01FD 16 02.09
 C5 0x01FC 0x0207 0x0201 11 01.24
 C6 0x01F5 0x0205 0x01FE 16 02.00
 C7 0x01FD 0x0207 0x0201 10 01.18
 C8 0x01FD 0x0207 0x0200 10 01.07
 C9 0x01FF 0x020B 0x0202 12 01.57
 CA 0x01FF 0x0209 0x0202 10 01.24
 CB 0x01FE 0x0209 0x0201 11 01.50
 CC 0x01F6 0x0206 0x0200 16 02.12
 CD 0x01FA 0x0206 0x0200 12 01.33
 CE 0x01F6 0x0206 0x01FF 16 01.99
 CF 0x01FC 0x0207 0x0200 11 01.22
 D0 0x01FC 0x0206 0x0200 10 01.10
 D1 0x01FF 0x020D 0x0202 14 01.82
 D2 0x01FD 0x0209 0x0201 12 01.27
 D3 0x01FE 0x020B 0x0202 13 01.62
 D4 0x01F5 0x0206 0x01FF 17 02.03
 D5 0x01FD 0x0208 0x0202 11 01.16
 D6 0x01F8 0x0207 0x0200 15 01.78
 D7 0x01FE 0x0209 0x0202 11 01.19
 D8 0x01FC 0x0207 0x0200 11 01.13
 D9 0x01FE 0x020E 0x0202 16 02.02
 DA 0x01FC 0x0207 0x0200 11 01.23
 DB 0x0200 0x020D 0x0203 13 01.87
 DC 0x01F5 0x0205 0x01FF 16 01.93
 DD 0x01FE 0x0208 0x0202 10 01.21
 DE 0x01FD 0x020B 0x0203 14 01.67
 DF 0x01FF 0x020A 0x0203 11 01.15
 E0 0x01FC 0x0205 0x0200 09 01.02
 E1 0x01FF 0x020D 0x0203 14 01.81
 E2 0x01FD 0x0207 0x0201 10 01.14
 E3 0x01FD 0x020B 0x0202 14 01.68
 E4 0x01F7 0x0207 0x0201 16 01.99
 E5 0x0200 0x020A 0x0204 10 01.19
 E6 0x01F8 0x0207 0x0200 15 01.68
 E7 0x01FF 0x020A 0x0203 11 01.18
 E8 0x01FD 0x020A 0x0200 13 00.99
 E9 0x01F9 0x0213 0x0203 26 01.87
 EA 0x01EA 0x021D 0x01FF 51 01.09
 EB 0x0041 0x0400 0x0203 959 18.31
 EC 0x01F5 0x020B 0x0200 22 02.08
 ED 0x01FC 0x0209 0x0202 13 01.29
 EE 0x01F9 0x020A 0x0200 17 01.67
 EF 0x01FA 0x0208 0x0200 14 01.42
