 80 0x01FC 0x0206 0x0200 10 01.00
 81 0x01FF 0x020B 0x0203 12 01.26
 82 0x01FF 0x020B 0x0203 12 01.27
 83 0x0200 0x020A 0x0203 10 01.22
 84 0x01F4 0x0204 0x01FD 16 02.10
 85 0x01FA 0x0206 0x0200 12 01.35
 86 0x01F3 0x0201 0x01FB 14 02.02
 87 0x01FB 0x0206 0x0200 11 01.16
 88 0x01FD 0x0206 0x0201 09 00.99
 89 0x01FF 0x020B 0x0203 12 01.32
 8A 0x01FE 0x0209 0x0202 11 01.26
 8B 0x01FE 0x020A 0x0202 12 01.33
 8C 0x01F4 0x0203 0x01FD 15 02.14
 8D 0x01FA 0x0206 0x0200 12 01.28
 8E 0x01F6 0x0204 0x01FE 14 01.89
 8F 0x01FB 0x0206 0x0200 11 01.14
 90 0x01FD 0x0205 0x0200 08 00.97
 91 0x0200 0x020A 0x0203 10 01.24
 92 0x01FE 0x0209 0x0202 11 01.26
 93 0x01FE 0x0209 0x0202 11 01.49
 94 0x01F4 0x0203 0x01FD 15 02.28
 95 0x01F9 0x0205 0x01FF 12 01.34
 96 0x01F6 0x0204 0x01FE 14 01.98
 97 0x01FC 0x0206 0x0200 10 01.13
 98 0x01E9 0x0217 0x0201 46 01.00
 99 0x004D 0x0400 0x0202 947 11.09
 9A 0x01BC 0x0235 0x0202 121 01.35
 9B 0x0024 0x0400 0x0202 988 15.44
 9C 0x01F3 0x0206 0x01FD 19 02.23
 9D 0x01FA 0x0206 0x0200 12 01.38
 9E 0x01F5 0x0204 0x01FD 15 02.11
 9F 0x01FA 0x0207 0x0200 13 01.19
 A0 0x01FE 0x0207 0x0201 09 01.00
 A1 0x01FF 0x0209 0x0202 10 01.17
 A2 0x01FB 0x0208 0x01FF 13 01.34
 A3 0x01FE 0x0209 0x0202 11 01.55
 A4 0x01F6 0x0203 0x01FE 13 02.01
 A5 0x01F9 0x0205 0x0200 12 01.35
 A6 0x01F5 0x0203 0x01FD 14 01.99
 A7 0x01FB 0x0207 0x0201 12 01.25
 A8 0x01FC 0x0206 0x01FF 10 01.06
 A9 0x01FE 0x0209 0x0201 11 01.27
 AA 0x01FE 0x020A 0x0201 12 01.42
 AB 0x0200 0x020D 0x0204 13 01.70
 AC 0x01F5 0x0202 0x01FD 13 01.90
 AD 0x01F7 0x0204 0x01FE 13 01.41
 AE 0x01F7 0x0205 0x01FF 14 01.98
 AF 0x01FB 0x0206 0x0200 11 01.23
